"Ipil Airport","National airport, Zamboanga del Sur","Sea Port",7.000000,47.000000,35.580700,N,122.000000,36.000000,25.046200,E
"Jolo Airport","Principal Class 2 airport, Sulu","Sea Port",6.000000,3.000000,11.047000,N,121.000000,0.000000,35.030400,E
"Liloy Airport","National airport, Zamboanga del Norte","Sea Port",8.000000,8.000000,55.488800,N,122.000000,40.000000,5.050400,E
"Pagadian Airport","Principal Class 1 airport, Zamboanga del Sur","Sea Port",7.000000,49.000000,43.561200,N,123.000000,28.000000,35.043500,E
"Sanag-Sanga (Tawi-Tawi) Airport","Principal Class 2 airport, Tawi-Tawi","Sea Port",5.000000,2.000000,40.319800,N,119.000000,44.000000,37.021200,E
"Siocon Airport","National airport, Zamboanga del Norte","Sea Port",7.000000,42.000000,25.608000,N,122.000000,9.000000,53.046300,E
"Zamboanga International Airport","International airport, Zamboanga City","Sea Port",6.000000,55.000000,20.714700,N,122.000000,3.000000,34.684700,E
"Butuan Airport","Principal Class 1 airport, Butuan City","Sea Port",8.000000,57.000000,30.911400,N,125.000000,29.000000,30.008400,E
"Camiguin Airport","National airport, Camiguin","Sea Port",9.000000,15.000000,15.845700,N,124.000000,42.000000,13.018600,E
"Labo (Ozamiz) Airport","Community airport, Misamis Occidental","Sea Port",8.000000,10.000000,46.116300,N,123.000000,50.000000,31.316200,E
"Sayak (Siargao) Airport","National airport, Surigao del Norte","Sea Port",9.000000,51.000000,33.656500,N,126.000000,0.000000,55.215900,E
"Surigao Airport","Principal Class 2 airport, Surigao del Norte","Sea Port",9.000000,45.000000,28.141200,N,125.000000,28.000000,51.864200,E
"Allah Valley Airport","National airport, South Cotabato","Sea Port",6.000000,20.000000,0.938000,N,124.000000,45.000000,5.020600,E
"General Santos International Airport (Tambler)","International airport, General Santos City","Sea Port",6.000000,3.000000,29.248300,N,125.000000,5.000000,46.313100,E
"Bislig Airport","National airport, Surigao del Sur","Sea Port",8.000000,11.000000,18.433000,N,126.000000,19.000000,37.029600,E
"Francisco Bangoy International Airport","International airport, Davao City","Sea Port",7.000000,7.000000,31.883200,N,125.000000,38.000000,44.802100,E
"Mati Airport","National airport, Davao Oriental","Sea Port",6.000000,57.000000,20.758500,N,126.000000,12.000000,57.016200,E
"Tandag Airport","Principal Class 2 airport, Surigao del Sur","Sea Port",9.000000,3.000000,55.207600,N,126.000000,10.000000,5.042500,E
"Awang (Cotabato) Airport","Principal Class 1 airport, Maguindanao","Sea Port",7.000000,9.000000,53.048300,N,124.000000,12.000000,37.234500,E
"Maria Cristina (Iligan) Airport","National airport, Lanao del Norte","Sea Port",8.000000,8.000000,55.469700,N,124.000000,12.000000,35.043900,E
"Malabang Airport","National airport, Lanao del Sur","Sea Port",7.000000,37.000000,1.609100,N,124.000000,3.000000,20.548300,E
"Lumbia (Cagayan de Oro) National Airport"," airport, Cagayan de Oro City","Sea Port",8.000000,24.000000,58.364100,N,124.000000,36.000000,40.883100,E
"Sorsogon (Gabao/Bacon) Airport","National airport, Sorsogon","Sea Port",12.000000,59.000000,54.921700,N,124.000000,1.000000,5.087700,E
"Lubang Airport","Community airport, Occidental Mindoro","Sea Port",13.000000,51.000000,30.797600,N,120.000000,6.000000,23.118000,E
"San Fernando (Poro Point) Airport","Community airport, La Union","Sea Port",16.000000,35.000000,40.218200,N,120.000000,18.000000,11.242200,E
