Name,Description,Category,Lat-Deg,Lat-Min,Lat-Sec,Lat-Dir,Lon-Deg,Lon-Min,Lon-Sec,LonDir,Notes,
"Port of Balbagon, TMO Benoni","Balbagon, Municipality of Mambajao, Camiguin",Sea Port,9.242922,0,0,N,124.737303,0,0,E,,
"Port of Guinsiliban, TMO Benoni","Poblacion, Municipality of Guinsiliban, Camiguin",Sea Port,9.098629,0,0,N,124.786422,0,0,E,,
"Port of Balingoan, TMO Balingoan","Municipality of Balingoan, Misamis Oriental",Sea Port,9.005547,0,0,N,124.845898,0,0,E,,
Port of Opol,,Sea Port,8.527556,0,0,N,124.572609,0,0,E,,
PMO CALAPAN,,,,,,,,,,,,
Port of Calapan,"Calapan City, Oriental Mindoro 5200",Sea Port,13,25.8,0,N,121,11.8,0,E,,
Port of Roxas,"Dangay, Roxas, Oriental Mindoro",Sea Port,12.593268,0,0,N,121.530071,0,0,E,12-35-30.00” N and longitude 121-30-45.00”E,
Port of Abra de Ilog,"Matabang, Abra de Ilog",Sea Port,13.466942,0,0,N,120.772356,0,0,E,13” 25’ longitude and 120” 42’ latitude,
Port of Lubang,"Tilik, Lubang Is. Occidental Mindoro",Sea Port,13.816172,0,0,N,120.201634,0,0,E,,
Port of Bulalacao,"Bulalacao, Oriental Mindoro",Sea Port,12.313551,0,0,N,121.340397,0,0,E,,
Port of Mansalay,"Mansalay, Oriental Mindoro",Sea Port,12.521483,0,0,N,121.451506,0,0,E,,
Port of Pola,"Pola, Oriental Mindoro",Sea Port,13.382149,0,0,N,121.821824,0,0,E,"12° 19' 55"" N Latitude ; 121° 05' 10"" E Longitude",
Port of San Jose,"Caminawit, San Jose, Occidental Mindoro",Sea Port,12,19,55,N,121,5,10,E,"12º 19' 55"" N 121º 05' 10"" E",
PMO COTABATO,,,,,,,,,,,,
Baseport Cotabato,Cotabato City,Sea Port,7,15,0,N,124,11,0,E,-07º 15' N 124º 11' E,"-this seems to be closer to East Timor than the Philippines, I'm guessing the negative sign is a typo?"
TMO of Kalamansig,"Kalamansig, Sultan Kudarat",Sea Port,6.553687,0,0,N,124.044998,0,0,E,"Latitude 06 deg 33 min. North, Latitude 124 deg. 02 min. East",
PMO DAPITAN,,,,,,,,,,,,
Port of Dapitan,"San Vicente, Dapitan City",Sea Port,8,39,21,N,123,23,26,E,8° 39' 21 N,123° 23' 26 E
Port of Sindangan,"Sindangan, Zamboanga del Norte",Sea Port,8.251246,0,0,N,122.987377,0,0,E,,
Port of Lamao,"Lamao, Liloy, Zamboanga del Norte",Sea Port,8,6,0,N,122,38,0,E,"latitude 8 degrees 06 minutes North, and Longitude 122 degrees 38 minutes East",
Port of Taguilon,"Brgy. Taguilon, Dapitan City",Sea Port,8,41,52,N,123,24,8,E,,
PMO DAVAO,,,,,,,,,,,,
Sasa Wharf,"Sasa, Davao City",Sea Port,7,5,0,N,125,35,0,E,7º 05' N 125º 35' E,
Mati Wharf,"Mati, Davao Oriental",Sea Port,6.951167,0,0,N,126.196387,0,0,E,latitude 6° 57’ N and longtitude 120° 13’ E,
Babak Ro-ro Port,Island Garden City of Samal,Sea Port,7.133386,0,0,N,125.684371,0,0,E,,
Banaybanay Ro-ro Port,"Puntalinao, Banaybanay, Davao Oriental",Sea Port,7.060969,0,0,N,125.955819,0,0,E,,
Lupon Municipal Port,"Lupon, Davao Oriental",Sea Port,6.889444,0,0,N,126.005833,0,0,E,,
Maco Municipal Port,"Maco, Compostela Valley Province",Sea Port,7.348611,0,0,N,125.854167,0,0,E,,
San Isidro Municipal Port,"San Isidro, Davao Oriental",Sea Port,13.5822129,0,0,N,124.2338786,0,0,E,,
Tagpopongan Port,"Tagpopongan, Samal, Davao del Norte",Sea Port,7.123801,0,0,N,125.792205,0,0,E,,
PMO DUMAGUETE,,,,,,,,,,,,
Dumaguete Baseport,"Brgy. Looc, Dumaguete City",Sea Port,9,18,30,N,123,18,30,E,"9º 18' 30"" N 123 18' 30"" E",
Larena Terminal Port,"Larena, Siquijor",Sea Port,9.2502541,0,0,N,123.587839,0,0,E,,
Tandayag Terminal Port,"Tandayag, Amlan, Negros Oriental",Sea Port,9.442458,0,0,N,123.23876,0,0,E,Latitude 9º 26’ 15”N Longitude 123º 04’015”E,
Siquijor Port,"Siquijor, Siquijor",Sea Port,9.250834,0,0,N,123.590999,0,0,E,,
Lazi Port,"Lazi, Siquijor",Sea Port,9.123301,0,0,N,123.637465,0,0,E,,
Guihulngan Port,"Guihulngan, Negros Oriental",Sea Port,10.1895993,0,0,N,123.2913454,0,0,E,"Latitude 10° 20' 54"" N Longtitude 123° 19' 47"" E",
PMO GENERAL SANTOS,,,,,,,,,,,,
Port of General Santos (Makar Wharf),"Makar, Labangal, Gen Santos City",Sea Port,6,6,0,N,125,9,0,E,06º 06' N 125º 09' E,
Terminal Port of Glan,"Municipality of Glan, Sarangani",Sea Port,5.825525,0,0,N,125.20232,0,0,E,,
Municipal Port of Kiamba,"Municipality of Kiamba, Sarngani Province",Sea Port,5.986472,0,0,N,124.626274,0,0,E,,
Port of Mabila,"Municipality of Sarangani, Davao Occidental",Sea Port,5.41264,0,0,N,125.426504,0,0,E,,
PMO ILIGAN,,,,,,,,,,,,
Baseport of Iligan,"Port Area, Iligan City",Sea Port,8,14,0,N,124,14,0,E,08º 14 ' % N 142º 14 ' E,
Tubod Port,"Brgy. Poblacion, Port, Area, Tubod, Lanao del Norte",Sea Port,8,6,0,N,123,53,2,E,"08º 06' N 123º 53' 2"" E",
Kolambugan Port,"Poblacion, Kolambugan, Lanao del Norte",Sea Port,8.113325,0,0,N,123.89555,0,0,E,,
PMO ILOILO,,,,,,,,,,,,
Iloilo Commercial Port Complex - Loboc Baseport,"Brgy. Loboc, Iloilo City",Sea Port,10,42,0,N,122,35,0,E,10º 42' N 122º 35' E,
River Wharf Baseport,"Muelle Loney, Iloilo City",Sea Port,,,,,,,,,,
Fort San Pedro Baseport,"Fort San Pedro, Iloilo City",Sea Port,10.69021838,0,0,N,122.5823245,0,0,E,,
Basiao Port,"Basiao, Ivisan, Capiz",Sea Port,11.533369,0,0,N,122.701802,0,0,E,,
Caluya Port,"Sitio Tonggo, Imba, Caluya, Antique",Sea Port,11.945614,0,0,N,121.570335,0,0,E,,
Caticlan Port,"Caticlan, Malay, Aklan",Sea Port,11.927799,0,0,N,121.951069,0,0,E,,
Concepcion Port,"Sitio Puntales, Brgy. Nipa, Concepcion, Iloilo",Sea Port,11.216272,0,0,N,123.110923,0,0,E,,
Culasi Terminal Port,"Culasi, Roxas City",Sea Port,11.610084,0,0,N,122.71549,0,0,E,Latitude 11°36’N Longitude 122°42’E,
Dumaguit Terminal Port,"Dumaguit, New Washington, Aklan",Sea Port,11.595607,0,0,N,122.481662,0,0,E,Latitude 11°36’ N 122° 29’E,
Dumangas Terminal Port,"Sitio Naluoyan, Brgy. Sapao, Dumangas, Iloilo",Sea Port,,,,,,,,,,
Estancia Terminal Port,"Estancia, Iloilo",Sea Port,,,,,,,,,,
Guimbal Port,"Brgy. Poblacion, Guimbal, Iloilo",Sea Port,10.6574396,0,0,N,122.3215091,0,0,E,,
Jordan Port,"Brgy. Hoskyn, Jordan, Guimaras",Sea Port,,,,,,,,,,
Libertad Port,"Brgy. Poblacion, Libertad, Antique",Sea Port,,,,,,,,,,
Lipata Port,"Brgy. Lipata, Culasi, Antique",Sea Port,11.469368,0,0,N,122.0568,0,0,E,Latitude 11°27’57”N Longitude 122°03’04”E,
San Jose de Buenavista Port,"San Jose de Buenavista, Antique",Sea Port,,,,,,,,,,
San Lorenzo Port,"San Lorenzo, Cabano, Guimaras",Sea Port,,,,,,,,,,
Sibunag Port,"Brgy. Sebaste, Sibunag, Guimaras",Sea Port,,,,,,,,,,
PMO LEGASPI,,,,,,,,,,,,
Legazpi - BP,Albay,Sea Port,13,10,0,N,123,45,0,E,13º 10' N 123º 45' E,
Aroroy Port,Masbate,Sea Port,12.51336,0,0,N,123.396421,0,0,E,,
Bacacay Port,Albay,Sea Port,13.297995,0,0,N,123.794214,0,0,E,,
Bulan Port,Sorsogon,Sea Port,12.666746,0,0,N,123.872697,0,0,E,Latitude 12? 40’N Longitude 123? 52’E,
"Caramoan Port, San Vicente, Guijalo",Camarines Sur,Sea Port,,,,,,,,,,
Castilla Port,Sorsogon,Sea Port,12.955206,0,0,N,123.883488,0,0,E,,
Cataingan Port,Masbate,Sea Port,12.0036464,0,0,N,124.0000893,0,0,E,,
Cawayan Port,Masbate,Sea Port,12.003068,0,0,N,124.002463,0,0,E,,
"Claveria Port, Claveria, Burias","Burias Island, Masbate",Sea Port,12.9065148,0,0,N,123.2461521,0,0,E,,
Esperanza Port,Masbate,Sea Port,11.7363958,0,0,N,124.0405262,0,0,E,,
Jose Panganiban Port,Camarines Norte,Sea Port,,,,,,,,,,
Masbate Port,Masbate,Sea Port,12.369193,0,0,N,123.616353,0,0,E,Latitude 12? 22’ 8”N Longitude 123? 36’ 5”E,
Matnog Port,Sorsogon,Sea Port,12,35,3.2,N,124,5,9.8,E,Latitude 12? 39’N Longitude 123? 58’E,
"Nato, Sagnay Port",Camarines Sur,Sea Port,13.611328,0,0,N,123.537269,0,0,E,,
Pantao Port,Albay,Sea Port,13.193596,0,0,N,123.324791,0,0,E,,
Pasacao Port,Camarines Sur,Sea Port,13.505105,0,0,N,123.041131,0,0,E,"Latitude 13º 21’N, Longitude 123º44’E",
Pioduran Port,Albay,Sea Port,13.028864,0,0,N,123.443356,0,0,E,,
San Andres Port,Catanduanes,Sea Port,13.597428,0,0,N,124.0966702,0,0,E,,
"San Pascual, Burias Port","Burias Island, Masbate",Sea Port,13.128225,0,0,N,122.975357,0,0,E,,
Tabaco Port,Albay,Sea Port,13.3610166,0,0,N,123.7381518,0,0,E,"Latitude 13º 21’N, Longitude 123º44’E",
Tandoc (Siruma) Port,Camarines Sur,Sea Port,,,,,,,,,,
Virac Port,Catanduanes,Sea Port,13.581514,0,0,N,124.234514,0,0,E,"Latitude 13º 35.1’N, Longitude 124º14.1’E",
PMO LIMAY,,,,,,,,,,,,
Lamao Baseport,"Port of Lamao, Limay, Bataan",Sea Port,14.512313,0,0,N,120.60501,0,0,E,latitude of 120º38’0” East and longitude of 14º30’0” North,
Capinpin (Orion) Port,"Bgy. Puting Buhangin, Orion, Bataan",Sea Port,14.5832865,0,0,N,120.5897832,0,0,E,latitude of 120º36’0” East and longitude of 14º34’0” North,
Dingalan Port,"Bgy. Aplaya, Aurora, Province",Sea Port,15.381241,0,0,N,121.396367,0,0,E,latitude of 14º23’ North and longitude of 121º24’ East,
Mariveles (Anchorage),"Mariveles, Bataan",Sea Port,14.437101,0,0,N,120.487903,0,0,E,,
Baler Port,"Baler, Aurora",Sea Port,15.756421,0,0,N,121.590422,0,0,E,,
Canalate Port,"Canalate, Malolos, Bulacan",Sea Port,14.8387204,0,0,N,120.8006054,0,0,E,,
Casiguran Port,"Bgy. Dibacong, Casiguran, Aurora",Sea Port,12.8773826,0,0,N,124.0064675,0,0,E,It lies a latitude between 16º 01’ 39” and 16º 27” 53” North and longitude between 121º 52’ 23” and 122º 14’ 14” East,
Sasmuan Port,"Samuan, Pampanga",Sea Port,,,,,,,,,,
Masantol Port,"Masantol, Pampanga",Sea Port,14.512274,0,0,N,121.016508,0,0,E,,
Sta. Cruz (Paombong) Port,"Sta. Cruz, Paombong, Bulacan",Sea Port,14.209568,0,0,N,121.091866,0,0,E,,
PMO NASIPIT,,,,,,,,,,,,
Nasipit Port,"Nasipit, Agusan del Norte",Sea Port,8.979909,0,0,N,125.337911,0,0,E,"LaT.08°58' 47"" N; Long. 125°20'9""E",
Masao Port,"Brgy. Lumbucan, Butuan City",Sea Port,8.9611091,0,0,N,125.5391075,0,0,E,"LaT.09°47' 00"" N; Long. 125°30'12""E",
Butuan Port,San Francisco St. Butuan City,Sea Port,8.951426,0,0,N,125.478821,0,0,E,"LaT.08°57' 11"" N; Long. 125°32' 34""E",
Butuan Ferry Terminal,Municipality along Agusan River,Sea Port,8.95377,0,0,N,125.542483,0,0,E,,
PMO NORTH HARBOR,,,,,,,,,,,,
North Harbor,"North Harbor, Tondo, Manila",Sea Port,14.6161111,0,0,N,120.9566667,0,0,E,14º 37.22' N 120 º 57.5' E,"Anchorage 1 – 14º 36' 27 "" N 120 º 56' 25.6"" E"
Pier 4,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,"Anchorage 2 – 14º 36' 26"" N 120º 56' 39.3"" E"
Pier 6,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,"Anchorage 3 – 14º 36' 25.5 "" N 120º 56' 14"" E"
Pier 8,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,
Pier 10,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,
Pier 12,,Sea Port,11.00435,0,0,N,124.606913,0,0,E,,
Pier 14,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,
Pier 2,,Sea Port,11.00435,0,0,N,124.606913,0,0,E,,
Pier 16,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,
MSW,,Sea Port,,,,,,,,,,
IPB,,Sea Port,,,,,,,,,,
Pier 18,,Sea Port,11.0031908,0,0,N,124.606994,0,0,E,,
Vitas Port Arrastre Corp.,,Sea Port,14.620565,0,0,N,120.965965,0,0,E,,
MICT,,Sea Port,,,,,,,,,,
PMO ORMOC,,,,,,,,,,,,
Ormoc Port,"Ormoc City, Leyte",Sea Port,11.005,0,0,N,124.608889,0,0,E,10 58.5’N (Latitude) 124 35’E (Longitude),
Calubian Port,"Brgy. Garganera, Calubian, Leyte",Sea Port,11.45,0,0,N,124.416667,0,0,E,,
Palompon Port,"Magallanes St., Palompon, Leyte",Sea Port,11.049609,0,0,N,124.384798,0,0,E,Lat 11°03’N Long 124°23’E,
Isabel Port,"Isabel, Leyte",Sea Port,10.6299734,0,0,N,124.9506625,0,0,E,"124° 26’ north latitude, and 10° 55’30”east longitude",
Baybay Port,"Bonifacio St., Baybay, Leyte",Sea Port,11.006284,0,0,N,124.608119,0,0,E,10°41’N Latitude and 124°47’30 East Longitude,
Hilongos Port,"Hilongos, Southern Leyte",Sea Port,10.3708121,0,0,N,124.7533672,0,0,E,"Latitude. 10°09’N, Longitude. 125°07’E",
Maasin Port,"S. Demeterio St., Maasin, Southern Leyte",Sea Port,10.1327318,0,0,N,124.8408438,0,0,E,"Latitude. 10.01°, Longitude. 124.50°.5E",
Naval Port,"Brgy. Poblacion, Naval, Biliran",Sea Port,11.560398,0,0,N,124.391723,0,0,E,11°33’ Latitude and 124°23’ Longitude,
Limasawa Port,"Brgy. Triana, Limasawa, Southern Leyte",Sea Port,10.060241,0,0,N,124.956812,0,0,E,,
Maripipi Port,"Brgy. Binongto-an, Maripipi, Biliran",Sea Port,11.550104,0,0,N,124.398753,0,0,E,,
Kawayan Port,"Brgy. Inasuyan, Kawayan, Biliran",Sea Port,11.560398,0,0,N,124.391723,0,0,E,,
Bato Port,"Port Area, Bato, Leyte",Sea Port,10.326994,0,0,N,124.784303,0,0,E,,
Padre Burgos Port,"Brgy. Poblacion, Padre Burgos, Southern Leyte",Sea Port,10.03094079,0,0,N,125.019106,0,0,E,,
San Isidro Port,"Brgy. Crossing , San Isidro, Leyte",Sea Port,11.1575715,0,0,N,124.9914044,0,0,E,,
PMO OZAMIZ,,,,,,,,,,,,
Port of Ozamiz,"Port Road, Ozamiz City, Misamis Occidental",Sea Port,8.149387,0,0,N,123.838835,0,0,E,08º 8' N 123º 50' E,
Port of Caluya,Misamis Occidental,Sea Port,11.957215,0,0,N,121.558679,0,0,E,,
Port of Jimenez,"Jimenez, Misamis Occidental",Sea Port,8.335,0,0,N,123.841,0,0,E,"Lat. 080 19’ 00” North , Long. 1230  51’ 00” East",
Port of Plaridel,"Plaridel, Misamis Occidental",Sea Port,8.611,0,0,N,123.692,0,0,E,,
Port of Silanga,"Tangub, Misamis Occidental",Sea Port,10.3326894,0,0,N,123.9209656,0,0,E,,
PMO PUERTO PRINCESA,,,,,,,,,,,,
Puerto Princesa,"Port Area, Malvar St., Bgy. Bagong Pag-asa, Pto. Princesa City",Sea Port,9.742211,0,0,N,118.785507,0,0,E,"Latitude 09° 44”N, Longitude 118° 43”E",
Brooke's Point,"Bgy. Buligay, Brooke's Pt., Palawan",Sea Port,8.75508,0,0,N,117.797501,0,0,E,"Latitude 08°46’95”N, Longitude 117°49’07”E",
Coron,"Bgy. Tagumpay, Coron, Palawan",Sea Port,11.992306,0,0,N,120.211774,0,0,E,"Latitude 11°59’39”N, Longitude 120°12’33”E",
Culion,"Bgy. Balala, Culion",Sea Port,11.894404,0,0,N,120.01877,0,0,E,,
Cuyo,"Bgy. Tenga-Tenga, Cuyo, Palawan",Sea Port,10.851198,0,0,N,121.009383,0,0,E,"Latitude 10°55’33”N, Longitude 121°00’05”E",
Port of El Nido,"El Nido, Palawan",Sea Port,11.2097089,0,0,N,119.4622539,0,0,E,Latitude 11° 9’N / Longitude 110° 23’E,
Punta Baja,"Bgy. Punta Baja, Rizal, Palawan",Sea Port,11.180279,0,0,N,119.386623,0,0,E,,
Taytay (Sta. Cruz),"Bgy. Bantulan, Taytay",Sea Port,10.712752,0,0,N,119.487755,0,0,E,,
Agutaya,"Bgy. Abagat, Agutaya",Sea Port,10.860644,0,0,N,121.079471,0,0,E,,
Buliluyan (Bataraza),"Bgy. Buliluyan, Bataraza, Palawan",Sea Port,8.3579305,0,0,N,117.185294,0,0,E,,
PMO PULUPANDAN,,,,,,,,,,,,
Pulupandan,"Pulupandan, Negros Occidental",Sea Port,10.5259472,0,0,N,122.8140914,0,0,E,10º 31' N 122º 48.2' E,
Cadiz,"Cadiz City, Negros Occidental",Sea Port,10.95,0,0,N,123.3,0,0,E,,
"Danao, Escalante","Danao, Escalante City, Negros Occidental",Sea Port,10.815207,0,0,N,123.4892356,0,0,E,Latitude 10049’N Longitude 123033’E,
San Carlos,"San Carlos City, Negros Occidental",Sea Port,10.4478103,0,0,N,123.2642008,0,0,E,Latitude 10028.4’N Longitude 123025.5’E,
Hinoba-an,"Brgy. Salvacion, Hinoba-an, Negros Occidental",Sea Port,10.694816,0,0,N,122.960515,0,0,E,,
Himamaylan,"Brgy. Aguisan, Himamaylan, Negros Occidental",Sea Port,10.1800246,0,0,N,122.9024656,0,0,E,,
PMO SAN FERNANDO,,,,,,,,,,,,
Aparri Port,"Punta, Aparri, Cagayan",Sea Port,18.362338,0,0,N,121.628914,0,0,E,Lat. 18 º 03.5’ N Long. 121 º 34’E,
Port of Currimao,"Barangay Pias Sur, Currimao, Ilocos, Norte",Sea Port,17.984529,0,0,N,120.490423,0,0,E,Lat 17º 59.’N Long 120º 29’E,
Port of Salomague,"Cabugao, Ilocos Sur",Sea Port,17.78084,0,0,N,120.415167,0,0,E,,
Port of Basco,"Basco, Batanes",Sea Port,20.447362,0,0,N,121.966641,0,0,E,,
Baloganon Port (Masinloc),"Baloganon, Masinloc, Zambales",Sea Port,15.5469945,0,0,N,119.949181,0,0,E,Lat. 15º 32’5” N Long. 119º 57’23.4´E,
"Sual, Pangsinan","Sual, Pangsinan",Sea Port,16.0976673,0,0,N,120.0549683,0,0,E,Lat. 16º 04.1’ N Long. 120º 05.43’ E,
"Valanga, Itbayat","Valanga, Itbayat",Sea Port,,,,,,,,,,
PMO SOUTH HARBOR,,,,,,,,,,,,
Baseport,"South Harbor, Port Area, Manila",Sea Port,14.57249655,0,0,N,120.9556867,0,0,E,14°36.2’N Long 120°58.0’E,
Terminal Pasig,"Muelle del Rio, Delpan, Port Area, Manila",Sea Port,14.594429,0,0,N,120.974591,0,0,E,,
Manila Int'l Container Terminal,"Room 201, 2nd Floor, ICTSI Administration Building, MICT, South Access Road, Manila",Sea Port,14.5981306,0,0,N,120.9517779,0,0,E,,
PMO SURIGAO,,,,,,,,,,,,
Surigao City,"Port Area, Surigao City",Sea Port,9,46,0,N,125,29,0,E,09º 46' N 125º 29' E,
Aras-Asan,"Cagwait, Surigao del Sur",Sea Port,,,,,,,,,,
Bislig (Lawigan),"Port Area, Bislig City",Sea Port,,,,,,,,,,
Cantilan,"Brgy. Consuelo, Cantilan, Surigao del Sur",Sea Port,,,,,,,,,,
Caramcam,"Tabon, Bislig City",Sea Port,,,,,,,,,,
Dapa,"Dapa, Surigao del Norte",Sea Port,9.75508,0,0,N,126.050386,0,0,E,Latitude 0945’ 8” N ; Longitude 126° 03’ E,
Del Carmen,"Del Carmen, Surigao del Norte",Sea Port,9.867571,0,0,N,125.968476,0,0,E,,
Lianga,"Lianga, Surigao del Sur",Sea Port,,,,,,,,,,
Lipata Ferry,"Lipata, Surigao City",Sea Port,9.815644,0,0,N,125.454696,0,0,E,Latitude 0948’ N ; Longitude 125°26 E,
San Jose,"San Jose, Surigao del Norte",Sea Port,,,,,,,,,,
Socorro,"Socorro, Surigao del Norte",Sea Port,9.617063,0,0,N,125.966688,0,0,E,,
Tandag,"Tanday, Surigao del Sur",Sea Port,9.084358,0,0,N,126.197128,0,0,E,Latitude 095” N; Longitude 1260 11’ 26E E,
PMO TACLOBAN,,,,,,,,,,,,
Tacloban,Tacloban City,Sea Port,11,15.8,0,N,124,15.1,0,E,11º 15'.8N 124º 15'.1E,
Borongan,"Borongan, E. Samar",Sea Port,11,14,56.2,N,125,0,2.1,E,Latitude 125º 26’ 42” E; Longitude 11º 36’ 32” N,
Calbayog,"Calbayog, Samar",Sea Port,12,3,39.7,N,124,35,30.8,E,Latitude 12º 04’ N; Longitude 124º 38’ N,
Catbalogan,"Catbalogan, Samar",Sea Port,11.776967,0,0,N,124.880808,0,0,E,Latitude 12º 04’ N; Longitude 124º 38’ N,
Guiuan,"Guiuan, E. Samar",Sea Port,11.0429,0,0,N,125.71283,0,0,E,Latitude 11º 01’ 50” N; Longitude 125º 39’ E,
Liloan Ferry,"Liloan, So. Leyte",Sea Port,10,9,33,N,125,7,30,E,Latitude 10º 09’ 18” N; Longitude 125º 07’ 0” E,
Maguinoo,"Maguinoo, Calbayog, Samar",Sea Port,7.028296,0,0,N,124.503934,0,0,E,,
San Isidro Ferry,"San Isidro, N. Samar",Sea Port,12.37105,0,0,N,124.338844,0,0,E,Latitude 10º 23’ N ; Longitude 124º 20’ E,
San Jose,"San Jose, N. Samar",Sea Port,10.73749312,0,0,N,121.9382805,0,0,E,Latitude 12º 31’ 51” N; Longitude 124º 29’ 7” E,
San Ricardo,"San Ricardo, So. Leyte",Sea Port,9.918466,0,0,N,125.292687,0,0,E,,
San Juan (Cabalian),"San Juan, So. Leyte",Sea Port,,,,,,,,,,
St. Bernard,"St. Bernard, So. Leyte",Sea Port,,,,,,,,,,
Almagro,"Almagro, Samar",Sea Port,,,,,,,,,,
Pagsanghan,"Pagsanghan, Samar",Sea Port,12.073383,0,0,N,124.545175,0,0,E,,
Vinisitahan,"San Antonio, N. Samar",Sea Port,11.927752,0,0,N,124.449308,0,0,E,,
Sto. Niño,"Sto. Niño, Samar",Sea Port,11.927752,0,0,N,124.449308,0,0,E,,
Ligaya,"Ligaya, Rosario, N. Samar",Sea Port,,,,,,,,,,
Carigara,"Carigara, Leyte",Sea Port,11.30576,0,0,N,124.688286,0,0,E,,
PMO TAGBILARAN,,,,,,,,,,,,
Port of Tagbilaran - BP,Tagbilaran City,Sea Port,9,30,0,N,123,50,0,E,,
Port of Catagbacan,"Loon, Bohol",Sea Port,9.86156,0,0,N,123.828699,0,0,E,,
Port of Jagna,"Jagna, Bohol",Sea Port,9.64945,0,0,N,124.366264,0,0,E,,
Port of Getafe,"Getafe, Bohol",Sea Port,10.1467793,0,0,N,124.1601075,0,0,E,,
Port of Loay,"Loay, Bohol",Sea Port,9.5983063,0,0,N,124.0089726,0,0,E,,
Port of Maribojoc,"Maribojoc, Bohol",Sea Port,9.737492,0,0,N,123.896685,0,0,E,,
Port of Talibon,"Talibon, Bohol",Sea Port,10.15050726,0,0,N,124.2694259,0,0,E,,
Port of Tapal,"Tapal, Ubay, Bohol",Sea Port,10.05336387,0,0,N,124.5262662,0,0,E,,
